customer_id,first_name,last_name,genger,birth_date,phone_number,email,discount
33,Yuliya,Babych,F,1973-12-16,380180655538,YuliyaBabych@mail.com,21
99,Yeva,Balko,F,1987-11-29,380505558967,YevaBalko@mail.com,13
11,Lyubov,Bojchuk,F,1982-09-05,380635550405,LyubovBojchuk@mail.com,30
17,Iryna,Bondarchuk,F,1976-11-19,380635551581,IrynaBondarchuk@mail.com,35
46,Taras,Buhaj,M,1981-11-14,380395552935,TarasBuhaj@mail.com,26
41,Heorhij,Buryak,M,1982-08-09,380635552387,HeorhijBuryak@mail.com,9
44,Zynovij,Cheban,M,1971-05-29,380401155577,ZynovijCheban@mail.com,35
38,Stanislava,Chernenko,F,2001-02-28,380635554318,StanislavaChernenko@mail.com,25
4,Vsevolod,Chernyak,M,1990-10-06,380395557647,VsevolodChernyak@mail.com,34
61,Yuliya,Datsenko,F,1994-01-01,380395555551,YuliyaDatsenko@mail.com,19
19,Tamara,Demchuk,F,1988-04-03,380505559741,TamaraDemchuk@mail.com,29
96,Natalya,Demydenko,F,1993-10-26,380635552727,NatalyaDemydenko@mail.com,28
87,Andrij,Demydenko,M,1979-06-23,380184555727,AndrijDemydenko@mail.com,23
71,Lyubov,Didyk,F,1999-02-09,380505555052,LyubovDidyk@mail.com,5
68,Yuliya,Didyk,F,1978-11-18,380565055504,YuliyaDidyk@mail.com,25
52,Ulyana,Dudnyk,F,2000-03-14,380670555553,UlyanaDudnyk@mail.com,9
69,Vita,Dudnyk,F,1999-07-17,380505551012,VitaDudnyk@mail.com,25
86,Svitlana,Fesenko,F,1976-05-26,380505552170,SvitlanaFesenko@mail.com,14
88,Kyrylo,Fesenko,M,1970-12-08,380635552917,KyryloFesenko@mail.com,16
16,Yevhen,Getman,M,1998-10-22,380505550413,YevhenGetman@mail.com,12
24,Oksana,Gorin,F,1971-10-22,380635553834,OksanaGorin@mail.com,30
59,Rostyslav,Havrylyuk,M,1978-08-27,380395551058,RostyslavHavrylyuk@mail.com,31
31,Denys,Holovko,M,1988-01-03,380411255570,DenysHolovko@mail.com,28
9,Anton,Honchar,M,1990-03-24,380635553745,AntonHonchar@mail.com,35
66,Yurij,Horban,M,1985-10-24,380635553634,YurijHorban@mail.com,23
76,Andrij,Horban,M,1988-11-29,380635559903,AndrijHorban@mail.com,25
14,Olha,Ihnatenko,F,1972-06-27,380395551539,OlhaIhnatenko@mail.com,21
29,Tamara,Ilchenko,F,1984-01-14,380113755589,TamaraIlchenko@mail.com,11
91,Eduard,Kalinichenko,M,1988-08-19,380635550763,EduardKalinichenko@mail.com,17
74,Zynovij,Khudenko,M,1983-02-12,380395552507,ZynovijKhudenko@mail.com,33
1,Myroslava,Kobzar,F,1976-01-15,380505557810,MyroslavaKobzar@mail.com,28
73,Zynovij,Kohut,M,1990-11-22,380395552599,ZynovijKohut@mail.com,29
58,Oksana,Kolisnyk,F,1994-04-15,380395552855,OksanaKolisnyk@mail.com,18
48,Rostyslav,Kolisnyk,M,1975-03-15,380395559615,RostyslavKolisnyk@mail.com,12
53,Orest,Kondratyuk,M,1999-02-28,380635558896,OrestKondratyuk@mail.com,22
85,Zynovij,Kondratyuk,M,1988-09-14,380635550425,ZynovijKondratyuk@mail.com,31
49,Liliya,Kondratyuk,F,1992-05-02,380635556249,LiliyaKondratyuk@mail.com,31
83,Mykyta,Kosenko,M,1991-04-25,380505559008,MykytaKosenko@mail.com,17
77,Valentyna,Kramarenko,F,1971-06-18,380395551403,ValentynaKramarenko@mail.com,34
22,Artur,Kramarenko,M,1975-08-19,380635553581,ArturKramarenko@mail.com,7
78,Myroslav,Kravchenko,M,1974-12-14,380395552599,MyroslavKravchenko@mail.com,33
8,Larysa,Kravchuk,F,1984-10-17,380505559969,LarysaKravchuk@mail.com,29
82,Lyubov,Kravchuk,F,1971-02-19,380395552225,LyubovKravchuk@mail.com,26
65,Zhanna,Kravets,F,1993-09-05,380395552078,ZhannaKravets@mail.com,10
2,Yevheniya,Kulish,F,1988-07-22,380395551122,YevheniyaKulish@mail.com,22
92,Yana,Kysil,F,1981-04-09,380287055562,YanaKysil@mail.com,27
45,Nina,Lebid,F,1999-05-01,380505558986,NinaLebid@mail.com,23
21,Serhij,Leshchenko,M,1991-10-24,380635556576,SerhijLeshchenko@mail.com,22
89,Khrystyna,Leshchenko,F,1996-12-21,380505553300,KhrystynaLeshchenko@mail.com,33
32,Yukhym,Lyashko,M,2001-04-26,380395559856,YukhymLyashko@mail.com,25
60,Alla,Lysyuk,F,1997-12-03,380395555515,AllaLysyuk@mail.com,22
93,Nina,Martynenko,F,1983-01-20,380395558991,NinaMartynenko@mail.com,23
80,Taras,Maslyanko,M,1987-11-10,380635554654,TarasMaslyanko@mail.com,8
